file,norm,fold,epoch,avg_epoch_time,train_acc,test_acc,dataset,model,declared_epochs,norm_type_header,exp
bn_0.txt,bn,0,74,0.2205,0.7473,0.7411,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,75,0.2205,0.7463,0.7143,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,76,0.2206,0.7053,0.6964,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,77,0.2205,0.7323,0.75,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,78,0.2206,0.7502,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,79,0.2206,0.7273,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,80,0.2206,0.7483,0.7589,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,81,0.2206,0.6843,0.6429,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,82,0.2206,0.5684,0.5446,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,83,0.2206,0.5175,0.5268,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,84,0.2206,0.7263,0.6518,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,85,0.2206,0.7433,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,86,0.2207,0.7143,0.6607,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,87,0.2207,0.7602,0.7857,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,88,0.2207,0.7652,0.7679,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,89,0.2208,0.7512,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,90,0.2208,0.7453,0.7768,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
bn_0.txt,bn,0,91,0.2207,0.7483,0.7054,PROTEINS,GIN,300,bn,proteins_gin_gn_fast
